Id,Label,Title,Score,Tags,CreationDate,ViewCount,LastEditDate,LastActivityDate,Body,AnswerCount,CommentCount,FavoriteCount,NumEdits
"1400031","1","Meaning of ""this"" for a struct (C#)","5","<c#>","2009-09-09 14:24:08","1409","2009-09-09 14:42:08","2009-09-09 14:42:50","<p>According to MSDN (Section 11.3.6 of the <a href=""http://download.microsoft.com/download/3/8/8/388e7205-bc10-4226-b2a8-75351c669b09/CSharp%20Language%20Specification.doc"" rel=""nofollow"">C# spec</a>):</p>

<blockquote>
  <p>Within an instance constructor of a
  struct, <code>this</code> corresponds to an <code>out</code>
  parameter of the struct type, and
  within an instance function member of
  a struct, <code>this</code> corresponds to a <code>ref</code>
  parameter of the struct type. In both
  cases, <code>this</code> is classified as a
  variable, and it is possible to modify
  the entire struct for which the
  function member was invoked by
  assigning to <code>this</code> or by passing <code>this</code>
  as a <code>ref</code> or <code>out</code> parameter.</p>
</blockquote>

<p>I don't get it.  How is <code>this</code> different for a struct than for a class?  Code examples are appreciated</p>
","3","","1","4"
"1400033","0","How do you get a PowerSoft report to resolve a PowerBuilder global function","1","<function><global><powerbuilder>","2009-09-09 14:24:36","293","","2009-11-03 19:00:12","<p>I currently work in an environment where reports must be emailed to users as a PowerSoft file.
There is a global PowerBuilder function which is used on a computed column my datawindow.   This datawindow becomes the final psr report.<br />
In my testing the function is resolved fine, when run live.  However, when the user runs the report, it sends the psr to their respective email address.  (I didn't design the system)<br />
When they open the psr, the function is not resolved.
Does anyone know if it is possible to wrap this function into the datawindow or into the final psr?</p>

<p>Thanks,
Glenn</p>
","1","1","","3"
"1400035","0","How to avoid dithering with Graphics.DrawImage?","1","<.net><drawing><dithering>","2009-09-09 14:24:46","590","2009-09-09 18:32:28","2009-09-09 18:32:28","<p>I want to draw one picture over another and dump it to HttpResponse. My code looks like this:</p>

<pre><code>//file name points to a gif image
System.Drawing.Image originalImage = System.Drawing.Image.FromFile(filename);
System.Drawing.Image smallImage = System.Drawing.Image.FromFile(smallFilename);

using(Bitmap tempImage = new Bitmap(originalImage))
{
    Graphics graphics = Graphics.FromImage(tempImage);
    PointF ulCorner = new PointF(10.0F, 10.0F);
    graphics.DrawImage(windfarmImage, ulCorner);
}

tempImage.Save(Response.OutputStream, ImageFormat.Gif);
</code></pre>

<p>If I change last line to </p>

<p>tempImage.Save(Response.OutputStream, ImageFormat.Jpeg);</p>

<p>it fixes the problem. But I have to have png as a result. Can I somehow keep palette from original file? Original file is gif, so it should be possible to have gif as a result without loosing any colors I guess.</p>
","1","1","","5"
"1400041","1","Is it possible to find out which page the user was previously browsing?","1","<html>","2009-09-09 14:25:36","62","","2009-09-09 14:27:18","<p>Is it possible to find out which page the user was previously browsing from current web page? </p>
","4","","","3"
"1400043","0","javascript jquery childnode","0","<javascript><jquery>","2009-09-09 14:25:41","951","2009-09-09 14:27:49","2009-09-09 18:08:41","<p>I have a problem that i want to access the normaltagCmt elements value:</p>

<pre><code>&lt;div id=""random no""&gt;
  &lt;div id=""normaltagdialog""&gt;
  &lt;table style=""width:100%; height:100%"" border=""2px""&gt;
    &lt;tr style=""width:100%; height:13%"" align=""left""&gt;
      &lt;td&gt;
        &lt;label&gt; {$LANG.TEXT}&lt;/label&gt;
      &lt;/td&gt;
    &lt;/tr&gt;
    &lt;tr style=""width:100%; height:59%; vertical-align:middle"" align=""center"" &gt;
      &lt;td&gt;
        &lt;textarea id=""normaltagCmt"" style=""width:90%; height:90%"" &gt;&lt;/textarea&gt;
      &lt;/td&gt;
    &lt;/tr&gt;
    &lt;tr style=""width:100%; height:13%""&gt;
      &lt;td&gt;
        &lt;label&gt; {$LANG.COLOR}&lt;/label&gt;
      &lt;/td&gt;
    &lt;/tr&gt;
    &lt;tr style=""width:100%; height:15%; ""&gt; 
      &lt;td&gt;
        &lt;table style=""width:100%;height:100%""  cellpadding=""2"" cellspacing=""2""&gt;
          &lt;tr id=""colorPad"" align=""center""&gt;
          &lt;/tr&gt;
        &lt;/table&gt;
      &lt;/td&gt;
    &lt;/tr&gt;
  &lt;/table&gt;
&lt;/div&gt;
&lt;/div&gt;
</code></pre>

<p>The script i have written above is a jquery dialog and this dialog opens many times.
i want to get the value of normaltagCmt for a particular div with a specific random id.
How can i get that in javascript?</p>
","3","","","4"
"1400044","1","Detecting whether or not file has been served to the browser?..kinda","2","<javascript><savefiledialog>","2009-09-09 14:25:47","387","","2009-09-18 07:37:13","<p>I have a button which sets window.location to a php file which generates a feed which is then downloaded. However, as the files vary in size due to what data is put into the feed it can sometimes take a while from the click of the button to the file dialog popping up.</p>

<p>What I would like to be able to do is click the button and display a loading.gif until the dialog / file is complete.</p>

<p>Any ideas would be cool!</p>

<p>Cheers</p>
","7","3","1","3"
"1400045","1","Web Design: When (not) to use a Wizard","4","<user-interface><wizard>","2009-09-09 14:25:55","2561","","2009-09-09 14:50:13","<p>My boss believes that wizards make things simple for the user.
I think they have their place but I can't really define what that place is.
I feel there is a danger in turning something into steps that doesn't need them.</p>

<p>Does anyone know where I could find rules for such things, or even a guideline to follow that describes when and when not to use wizards and possibly even other UI elements.</p>
","4","","4","3"
"1400052","1","Last Record of a Join Table (how to optimize)","0","<sql>","2009-09-09 14:26:09","979","2009-09-09 15:38:37","2009-09-09 15:38:37","<p>I have the same ""problem"" as described in (<a href=""http://stackoverflow.com/questions/1078280/last-record-of-join-table"">http://stackoverflow.com/questions/1078280/last-record-of-join-table</a>): I need to join a ""Master Table"" with a ""History Table"" whereas I only want to join the latest (by date) Record of the the history table. So whenever I query a record for the mastertable I also geht the ""latest"" data of the History Table.</p>

<pre><code>Master Table
  ID
  FIRSTNAME
  LASTNAME
  ...

History Table
  ID
  LASTACTION
  DATE
</code></pre>

<p>This is possible by joining both tables and using a subselect to retrieve the latest history table record as described in the answer given in the link above. </p>

<p>My Quesions are:
How can I solve the problem, that there might be in theory two History Records with the same date? </p>

<p>Is this kind of joining with the subselect really the best solution in terms of performance (and in general)? What do you think (I am NO expert in all this stuff) if I integrate a further attribute in the History table that is named ""ISLATESTRECORD"" as a boolean Flag that I manage manually (and that has a unique constrained). This attribute will then explicitly mark the latest record and I do not need any subselects as I can directly use this attribute in the where clause of the join.
On the other hand, this makes inserting a new record of course a little bit more complicated: I first have to remove the ""ISLATESTRECORD"" flag from the latest record, I have to insert the new History Record with the ""ISLATESTRECORD"" set and commit the transaction. </p>

<p>What do you think is the recommended solution? I do not have any clue about the performance impact of the subselects: I might have millions of ""Mastertable"" Records"" that I have to search for a specific record also using in the search attributes of the joined History table like: ""Give me the Mastertable Record with FIRSTNAME XYZ and the LASTACTION (of the History Table) was ""changed_name"". So this subselect might be called millions of times. </p>

<p>Or is it better work with a subselect to find the latest record, as subselects are very efficient and its better to keep everything normalized?</p>

<p>Thank you very much</p>
","2","1","1","4"
"1400053","0","IIS SMTP settings and Host setting in web.config in ASP.Net","1","<smtp>","2009-09-09 14:26:20","921","","2009-09-09 14:34:04","<p>In IIS7, there is SMTP settings where you can specify the SMTP server for ASP.Net application to use. 
In Web.Config, you can also settup the host and port the SMTP server.</p>

<p>My question is: What's the difference between the two?</p>

<p>Thanks</p>
","1","","","3"
"1400056","1","(Postgress) actual record number in recordset","2","<sql><postgresql>","2009-09-09 14:26:44","809","2009-09-09 14:35:23","2009-09-09 16:40:38","<p>Ffor testing purposes I need to write a SQL query which contains the 
actual record number as a column in the result set. If my SELECT gets
back to me with 10 records as the result, I need to have one column
which contains the values 1-10.</p>

<p>Is there a way to achieve this without a stored procedure cursoring through
my data?</p>

<p>EDIT:  I need this on postgresql.</p>
","4","","","8"
"1400057","1","Getting the name of the makefile from the makefile","8","<makefile><make>","2009-09-09 14:26:46","3895","2009-10-20 10:44:06","2011-01-26 20:24:08","<p>How to get the name of the makefile in the makefile?</p>

<p>Thanks.</p>

<p><strong>Note:</strong></p>

<p>I would need that because I would like my makefile to call itself, but the makefile is not called Makefile, so I'd like to write something like this:</p>

<pre><code>target:
    ($MAKE) -f ($MAKEFILENAME) other_target
</code></pre>
","6","1","3","5"
"1400060","1","WPF toolkit datagrid spreadsheet","1","<wpf><datagrid><spreadsheet><toolkit>","2009-09-09 14:27:10","1457","","2010-02-18 06:56:40","<p>I would like to add excel spreadsheet functionality to the WPF toolkit datagrid, can this be done? </p>

<p>I am building a wpf client-server application and I want client tohave  wpf toolkit datagrid cells which would behave like excel spreadsheet cells would behave... Meaning they would have formulas and such... just like the spreadsheet would.</p>

<p>I am trying to accomplish this without the usage of Farpoint datagrid product that i already use for a winforms client-server application.</p>

<p>Thanks.</p>
","2","","","3"
"1400076","1","Django and Openx?","1","<django><django-templates><openx>","2009-09-09 14:28:44","497","2011-03-14 20:25:01","2012-12-10 21:28:50","<p>Somebody know how use <a href=""http://www.openx.org/"" rel=""nofollow"">OpenX</a> (php app) with Django? I need to use OpenX or a similar software for displaying ads.</p>
","3","","1","5"
"1400078","1","Is it possible to specify condition in Count()?","22","<sql><sql-server><tsql>","2009-09-09 14:28:52","16016","2013-03-06 17:44:33","2013-03-06 17:44:33","<p>Is it possible to specify a condition in Count()? I would like to count only the rows that have for example ""Manager"" value in Position column.</p>

<p><strong>Edit:</strong> <strong>please</strong> read carefully, I want to do it IN count statement, not using WHERE; I'm asking about it because I need to count both Managers and Other in the same select (something like Count(Position = Manager), Count(Poisition = Other)) so WHERE is no use for me in this example</p>
","9","11","8","6"
"1400091","1","Search and remove item from listbox","0","<c#><.net><search><listbox>","2009-09-09 14:30:28","632","2009-09-09 14:51:27","2009-09-09 14:55:28","<p>Is there a way to remove an item from a listbox based on a string?</p>

<p>I have been playing around for a few minutes and here is what i have so far but its not working</p>

<pre><code>foreach(string file in LB_upload.Items)
{
    ftp.Upload(file);
    int x = LB_upload.Items.IndexOf(file);
    LB_upload.Items.RemoveAt(x);
}
</code></pre>

<p>I could just loop through each item but I wanted to do something a little more elegant </p>
","3","1","","5"
"1400103","1","How can I test wether persistence.xml has been found or not?","1","<hibernate><jpa><persistence>","2009-09-09 14:32:43","2234","","2009-09-09 15:36:48","<p>I have to test some things on a project which has been developed by others, but is new to me.
They are using Hibernate as a JPA implementation.</p>

<p>I got a virtual machine in which everything is set up, but when I want to start any Testclient (small console programs, no Unittesting). I always get the same error. </p>

<pre><code>Exception in thread ""main"" javax.persistence.PersistenceException: org.hibernate.HibernateException: Hibernate Dialect must be explicitly set
    at org.hibernate.ejb.Ejb3Configuration.buildEntityManagerFactory(Ejb3Configuration.java:698)
    at org.hibernate.ejb.HibernatePersistence.createEntityManagerFactory(HibernatePersistence.java:121)
    at javax.persistence.Persistence.createEntityManagerFactory(Persistence.java:51)
    at javax.persistence.Persistence.createEntityManagerFactory(Persistence.java:33)
    ...    
Caused by: org.hibernate.HibernateException: Hibernate Dialect must be explicitly set
    at org.hibernate.dialect.DialectFactory.determineDialect(DialectFactory.java:57)
    at org.hibernate.dialect.DialectFactory.buildDialect(DialectFactory.java:39)
    at org.hibernate.cfg.SettingsFactory.determineDialect(SettingsFactory.java:409)
    at org.hibernate.cfg.SettingsFactory.buildSettings(SettingsFactory.java:119)
    at org.hibernate.cfg.Configuration.buildSettings(Configuration.java:2006)
    at org.hibernate.cfg.Configuration.buildSessionFactory(Configuration.java:1289)
    at org.hibernate.ejb.Ejb3Configuration.buildEntityManagerFactory(Ejb3Configuration.java:691)
    ... 7 more
</code></pre>

<p>The project structure looks like this. Strangely enough I already had this thing running (before my summerholdays.</p>

<pre><code>|-- bin
|-- lib
|-- rsc
|   |-- META-INF
|   |   `-- persistence.xml
|-- src
|   |-- org 
|   |    | ... all sourcecode below 
`-- target
</code></pre>

<p>I tried to narrow down the problem, therefore I deleted the whole META-INF folder. Still the same error. That was not what I expected and led me to believe that persistence.xml is not found at all. 
I don't know why they put META-INF in the rsc folder (as I mentioned, it's not my project) but when I put it in the root folder or in the src folder the error remains.</p>

<p>How can I make sure that persistence.xml has been found? Is there any documentation where META-INF should be placed. (And why is this errormessage so misleading?)</p>
","1","","","3"
"1400121","1","Sphinx .net implementation","1","<.net><sphinx>","2009-09-09 14:35:43","2008","","2012-09-19 14:29:24","<p>Is it possible to implementation  Sphinx (full-text search) in .net - MSSQL Application.</p>

<p>if so , any help how to implement the same, a small description will help a lot.</p>
","2","2","","3"
"1400122","1","Executing queries using DAO","1","<delphi><ms-access><dao>","2009-09-09 14:36:27","1299","","2009-09-10 08:21:14","<p>I want to execute a list of queries against an Access database using DAO. The ""Database.Execute()"" method seems suited for this with the remark that it can only execute ""action queries"", that is queries which don't return a result set (<a href=""http://msdn.microsoft.com/en-us/library/bb243015.aspx"" rel=""nofollow"">MSDN reference</a>). For queries which return records ""Database.OpenRecordset()"" can be used. Both methods throw exceptions if the wrong type of query is passed.</p>

<p>Having both action queries and select queries in the list how can I decide upfront which will return records and which will not?</p>
","5","4","","3"
"1400124","1","Firefox 3.5 duplicating code","0","<php><html><css><firefox>","2009-09-09 14:36:34","160","2009-09-09 15:22:34","2009-11-18 13:09:53","<p>I have an issue that seems to be appearing in Firefox 3.5.2. When i view the page it looks find but then a click on one of the links on the page then return to the page either using the back button or clicking a link on the following page that returns to the first page. (if that makes any sense).</p>

<p>I use firebug when i return to the first page and there is extra html code. I am wondering if it's possible that firefox is added this somewhere or if i should be looking at my php code.</p>

<p>Sadly this is for a company project so i can't publish the code here. I will try to anonymise the code but i was hoping that if someone else had the same issue they could shed some light on the issue.</p>

<p>Note: the extra code disapears when i refresh the page. it only happens when coming from another page. could this be a catch issue with firefox?</p>

<p>UPDATE: I discovered that i was loading jQuery in the header. not sure what this was doing but now the page 'freaks out' no matter what.</p>

<p>This is what the code should be:</p>

<pre><code>&lt;div class=""extranetFlag""&gt;
&lt;a href=""?c=4"" style=""text-decoration: none;""&gt;
&lt;div class=""extranetFlagFrame""&gt;&lt;img border=""0"" alt=""Bangladesh"" src=""/resources/flags/Bangladesh.png""/&gt;&lt;/div&gt;
&lt;!--[if lte IE 7]&gt;&lt;br /&gt;&lt;![endif]--&gt;
&lt;div class=""caption""&gt;Bangladesh&lt;/div&gt;
&lt;/a&gt;
&lt;/div&gt;
</code></pre>

<p>After mutation:</p>

<pre><code>&lt;div class=""extranetFlag""&gt;
&lt;a href=""?c=3"" style=""text-decoration: none;""&gt;
&lt;/a&gt;&lt;div class=""extranetFlagFrame""&gt;&lt;a href=""?c=3"" style=""text-decoration: none;""&gt;&lt;img border=""0"" alt=""Belgium"" src=""/resources/flags/Belgium.png""/&gt;&lt;/a&gt;&lt;/div&gt;
&lt;a href=""?c=3"" style=""text-decoration: none;""&gt;  &lt;!--[if lte IE 7]&gt;&lt;br /&gt;&lt;![endif]--&gt;
&lt;/a&gt;&lt;div class=""caption""&gt;&lt;a href=""?c=3"" style=""text-decoration: none;""&gt;Belgium&lt;/a&gt;    &lt;/div&gt;
&lt;a href=""?c=3"" style=""text-decoration: none;""&gt;  &lt;/a&gt;
&lt;/div&gt;
</code></pre>

<p>I checked the heading using the net panel in Firebug and this is not the coding being sent to the browser.</p>
","4","2","","6"
"1400125","1","Java: Howto know where the jar is located in Linux","2","<java><linux><jar><working-directory>","2009-09-09 14:36:36","1367","2009-09-09 14:45:26","2009-09-09 14:54:51","<p>In Linux, the JVM sets the working direcory equal to the homefolder from the user.
In Windows is this the folder where the jar is located.
How can I find where the jar <b>(from my app)</b> is located to change the working dir?</p>

<p>Martijn</p>
","2","2","1","4"
"1400131","0","What are the advantages  of using named queries under Hibernate Annotation","3","<java><performance><hibernate><annotations>","2009-09-09 14:37:28","4152","2011-10-31 16:41:52","2011-10-31 16:41:52","<p>Are there any advantages of using named queries vs what we have?  Looking at performance, usability, maintainability etc etc....</p>

<p>In our application we have defined our queries as such:</p>

<pre><code>private static final String SELECT_CODE_FOR_STORE = ""select DISTINCT code from Code code ""
        + ""join code.codeDescriptions codeDesc ""
        + ""join codeDesc.stores store where store.id =:""
        + DataAccessConstants.PARAM_STORE_ID;
</code></pre>

<p>(These are all placed into the DAO object and there are many of them.)</p>

<p>And we call the above by using: </p>

<pre><code>Map&lt;String, Object&gt; paramMap = new HashMap&lt;String, Object&gt;();
paramMap.put(""storeId"", codeDescriptionSearchCriteria.getStoreId());
List&lt;Code&gt; list = getJpaTemplate().findByNamedParams(
        SELECT_CODE_FOR_STORE, paramMap);
return list; 
</code></pre>

<p>Which is nothing more then:</p>

<pre><code>public List findByNamedParams(final String arg0, 
                              final Map&lt;String, 
                              ? extends Object&gt; arg1) throws DataAccessException 
{
  return org.springframework.orm.jpa.JpaTemplate.findByNamedParams(arg0, arg1);
}
</code></pre>

<p>As compared to using </p>

<pre><code>@NamedQuery(name=""SELECT_CODE_FOR_STORE"", query=""select ......"")
</code></pre>

<p>A the top of our DAO objects.</p>

<p>I saw <a href=""http://stackoverflow.com/questions/602397/how-do-i-externalize-named-queries-in-a-hibernate-annotations-app"">this posting</a> which seems to be a good way to organize all these queries.  Or maybe it is time to re-evaluate our database and object structures if we have so many of these type of queries.  </p>
","1","","1","5"
"1400134","1","Description to return just ClassName?","2","<objective-c><nsstring><description>","2009-09-09 14:38:19","1059","2009-09-09 18:28:45","2009-09-09 18:28:45","<p>The default description for a class instance returns ""ClassName: 0x105120"". How might I modify the method below to just return the ""ClassName""? </p>

<pre><code>// The code below just returns the address ...
- (NSString *)description {

 NSString *result;

 result = [NSString stringWithFormat:@""%p"", self];
    return result;
}
</code></pre>

<p>EDIT: in that case would this be correct? Although I do understand that if I want to actually get the className as an NSString I should use NSStringFromClass([self class])</p>

<pre><code>- (id)init {
 NSLog(@""_init: %@"", [self class]);
 [super init];
 return self;
}
</code></pre>

<p>thanks in advance -gary-</p>
","1","1","","4"
"1400135","1","Facelets and JSP in same project?","1","<java><jsf><facelets><icefaces>","2009-09-09 14:38:24","2028","","2010-06-28 15:51:10","<p>Is it possible to use Facelets pages and .jsp style ICEfaces pages in the same project?  In looking at the <a href=""http://facestutorials.icefaces.org/tutorial/facelets-tutorial.html"" rel=""nofollow"">ICEFaces Facelets tutorial</a>, the migration appears to be an all-or-nothing switch.  Is it possible to support both (for a slow migration)?</p>
","4","","","3"
"1400136","0","Multi-line Pattern and tag search","0","<python><regex><design-patterns><multiline>","2009-09-09 14:38:31","434","2012-05-20 07:15:30","2012-05-20 07:15:30","<p>I'm trying to make a pattern for tags, but the sub method just replaces the first char and 3 at the end of the line, im trying to replace all tags on the line and with multiline</p>

<pre><code>p=re.compile('&lt;img=([^}]*)&gt;([^}]*)&lt;/img&gt;', re.S)
p.sub(r'[img=\1]\2[/img]','&lt;img=""test""&gt;dsad&lt;/img&gt; &lt;img=""test2""&gt;dsad2&lt;/img&gt;')
output:
'**[**img=""test""&gt;dsad&lt;/img&gt; &lt;img=""test2""]dsad2**[/img]**'
</code></pre>
","1","","","6"
